Variable,Variable_Label,Values,Value_Labels
IGSHAREPOL_W144,,4,A little
IGSHAREPOL_W144,,5,None at all
IGSHAREPOL_W144,,99,Refused
IGWHYSP_a_W144,Your views are welcome there // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
IGWHYSP_a_W144,,2,Minor reason
IGWHYSP_a_W144,,3,Not a reason
IGWHYSP_a_W144,,99,Refused
IGWHYSP_b_W144,It’s a place you can make a difference // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
IGWHYSP_b_W144,,2,Minor reason
IGWHYSP_b_W144,,3,Not a reason
IGWHYSP_b_W144,,99,Refused
IGWHYSP_c_W144,Politics belongs there // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
IGWHYSP_c_W144,,2,Minor reason
IGWHYSP_c_W144,,3,Not a reason
IGWHYSP_c_W144,,99,Refused
IGWHYSP_d_W144,You feel it’s something you should do // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
IGWHYSP_d_W144,,2,Minor reason
IGWHYSP_d_W144,,3,Not a reason
IGWHYSP_d_W144,,99,Refused
IGWHYNTSP_a_W144,You don’t want to be criticized or harassed there // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
IGWHYNTSP_a_W144,,2,Minor reason
IGWHYNTSP_a_W144,,3,Not a reason
IGWHYNTSP_a_W144,,99,Refused
IGWHYNTSP_b_W144,Posting there won’t make a difference // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
IGWHYNTSP_b_W144,,2,Minor reason
IGWHYNTSP_b_W144,,3,Not a reason
IGWHYNTSP_b_W144,,99,Refused
IGWHYNTSP_c_W144,Politics doesn’t belong there // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
IGWHYNTSP_c_W144,,2,Minor reason
IGWHYNTSP_c_W144,,3,Not a reason
IGWHYNTSP_c_W144,,99,Refused
IGWHYNTSP_d_W144,You don’t care about politics // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
IGWHYNTSP_d_W144,,2,Minor reason
IGWHYNTSP_d_W144,,3,Not a reason
IGWHYNTSP_d_W144,,99,Refused
IGSEEPOL_W144,How much of what you see on Instagram is about politics or political issues?,1,All or almost all
IGSEEPOL_W144,,2,Most
IGSEEPOL_W144,,3,Some
IGSEEPOL_W144,,4,A little
IGSEEPOL_W144,,5,None at all
IGSEEPOL_W144,,99,Refused
IGPOLIDEO_W144,"Overall, does what you see about politics or political issues on Instagram lean…",1,Mostly conservative
IGPOLIDEO_W144,,2,Mostly liberal
IGPOLIDEO_W144,,3,Doesn’t lean either way
IGPOLIDEO_W144,,4,Not sure
IGPOLIDEO_W144,,99,Refused
IGFREEEXP_W144,"On Instagram, do you think people feel free to openly express their political views?",1,Yes
IGFREEEXP_W144,,2,No
IGFREEEXP_W144,,99,Refused
XTWHY_a_W144,To get news // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_a_W144,,2,Minor reason
XTWHY_a_W144,,3,Not a reason
XTWHY_a_W144,,99,Refused
XTWHY_b_W144,To keep up with politics or political issues // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_b_W144,,2,Minor reason
XTWHY_b_W144,,3,Not a reason
XTWHY_b_W144,,99,Refused
XTWHY_c_W144,To keep up with sports or pop culture // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_c_W144,,2,Minor reason
XTWHY_c_W144,,3,Not a reason
XTWHY_c_W144,,99,Refused
XTWHY_d_W144,Because it’s entertaining // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_d_W144,,2,Minor reason
XTWHY_d_W144,,3,Not a reason
XTWHY_d_W144,,99,Refused
XTWHY_e_W144,To keep up with friends and family // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_e_W144,,2,Minor reason
XTWHY_e_W144,,3,Not a reason
XTWHY_e_W144,,99,Refused
XTWHY_f_W144,To connect with others who share your interests // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_f_W144,,2,Minor reason
XTWHY_f_W144,,3,Not a reason
XTWHY_f_W144,,99,Refused
XTWHY_g_W144,To look at product reviews or recommendations // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
XTWHY_g_W144,,2,Minor reason
XTWHY_g_W144,,3,Not a reason
XTWHY_g_W144,,99,Refused
XTDEMOCRACY_W144,"Overall, do you think X (formerly Twitter)...",1,Is mostly good for American democracy
XTDEMOCRACY_W144,,2,Is mostly bad for American democracy
XTDEMOCRACY_W144,,3,Has no impact on American democracy
XTDEMOCRACY_W144,,99,Refused
XTSOURCE_a_W144,News outlets or journalists // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
XTSOURCE_a_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
XTSOURCE_a_W144,,99,Refused
XTSOURCE_b_W144,"Friends, family, and acquaintances // Do you ever get news from each of the following on X (formerly Twitter)?",1,"Yes, I get news on X (formerly Twitter) from them"
XTSOURCE_b_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
XTSOURCE_b_W144,,99,Refused
XTSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
XTSOURCE_c_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
XTSOURCE_c_W144,,99,Refused
XTSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
XTSOURCE_d_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
XTSOURCE_d_W144,,99,Refused
XTSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
